2027226,0.0,"['huddle', ' huddle together']",huddle
2027226,0.0,"['huddle', ' huddle together']", huddle together
2604913,0.0,['ancestral'],ancestral
14429484,0.0,['ranking'],ranking
1277097,0.0,"['cardinal', ' central', ' fundamental', ' key', ' primal']",cardinal
1277097,0.0,"['cardinal', ' central', ' fundamental', ' key', ' primal']", central
1277097,0.0,"['cardinal', ' central', ' fundamental', ' key', ' primal']", fundamental
1277097,0.0,"['cardinal', ' central', ' fundamental', ' key', ' primal']", key
1277097,0.0,"['cardinal', ' central', ' fundamental', ' key', ' primal']", primal
1584857,0.0,"['nymphomaniacal', ' nymphomaniac']",nymphomaniacal
1584857,0.0,"['nymphomaniacal', ' nymphomaniac']", nymphomaniac
1232684,0.0,['visit'],visit
13792692,0.0,"['link', ' nexus']",link
13792692,0.0,"['link', ' nexus']", nexus
513048,0.0,['matched'],matched
6308765,0.0,"['ending', ' termination']",ending
6308765,0.0,"['ending', ' termination']", termination
13842622,0.0,"['symbiosis', ' mutualism']",symbiosis
13842622,0.0,"['symbiosis', ' mutualism']", mutualism
411384,0.0,['cooperation'],cooperation
255582,0.0,['entangled'],entangled
7985628,0.0,"['couple', ' twosome', ' duo', ' duet']",couple
7985628,0.0,"['couple', ' twosome', ' duo', ' duet']", twosome
7985628,0.0,"['couple', ' twosome', ' duo', ' duet']", duo
7985628,0.0,"['couple', ' twosome', ' duo', ' duet']", duet
13841467,0.0,['complementarity'],complementarity
117346,0.0,['receive'],receive
1559903,0.0,"['moved', ' affected', ' stirred', ' touched']",moved
1559903,0.0,"['moved', ' affected', ' stirred', ' touched']", affected
1559903,0.0,"['moved', ' affected', ' stirred', ' touched']", stirred
1559903,0.0,"['moved', ' affected', ' stirred', ' touched']", touched
247830,0.0,['proliferate'],proliferate
2835654,0.0,"['residual', ' residuary']",residual
2835654,0.0,"['residual', ' residuary']", residuary
2023600,0.0,['congregate'],congregate
1220885,0.0,"['cling', ' cleave', ' adhere', ' stick', ' cohere']",cling
1220885,0.0,"['cling', ' cleave', ' adhere', ' stick', ' cohere']", cleave
1220885,0.0,"['cling', ' cleave', ' adhere', ' stick', ' cohere']", adhere
1220885,0.0,"['cling', ' cleave', ' adhere', ' stick', ' cohere']", stick
1220885,0.0,"['cling', ' cleave', ' adhere', ' stick', ' cohere']", cohere
2994419,0.0,"['centerpiece', ' centrepiece']",centerpiece
2994419,0.0,"['centerpiece', ' centrepiece']", centrepiece
1429953,0.0,"['crossbreed', ' cross', ' hybridize', ' hybridise', ' interbreed']",crossbreed
1429953,0.0,"['crossbreed', ' cross', ' hybridize', ' hybridise', ' interbreed']", cross
1429953,0.0,"['crossbreed', ' cross', ' hybridize', ' hybridise', ' interbreed']", hybridize
1429953,0.0,"['crossbreed', ' cross', ' hybridize', ' hybridise', ' interbreed']", hybridise
1429953,0.0,"['crossbreed', ' cross', ' hybridize', ' hybridise', ' interbreed']", interbreed
240754,0.0,"['authorship', ' paternity']",authorship
240754,0.0,"['authorship', ' paternity']", paternity
138078,0.0,['kiss'],kiss
13811740,0.0,"['rapport', ' resonance']",rapport
13811740,0.0,"['rapport', ' resonance']", resonance
2329355,0.0,['subordinate'],subordinate
253361,0.0,"['fettered', ' shackled']",fettered
253361,0.0,"['fettered', ' shackled']", shackled
877559,0.0,"['consult', ' confer with']",consult
877559,0.0,"['consult', ' confer with']", confer with
13971065,0.0,"['agreement', ' accord']",agreement
13971065,0.0,"['agreement', ' accord']", accord
3578055,0.0,"['intercommunication system', ' intercom']",intercommunication system
3578055,0.0,"['intercommunication system', ' intercom']", intercom
2276746,0.0,"['arrogate', ' assign']",arrogate
2276746,0.0,"['arrogate', ' assign']", assign
56930,0.0,"['give birth', ' deliver', ' bear', ' birth', ' have']",give birth
56930,0.0,"['give birth', ' deliver', ' bear', ' birth', ' have']", deliver
56930,0.0,"['give birth', ' deliver', ' bear', ' birth', ' have']", bear
56930,0.0,"['give birth', ' deliver', ' bear', ' birth', ' have']", birth
56930,0.0,"['give birth', ' deliver', ' bear', ' birth', ' have']", have
1065456,0.0,['explain'],explain
2202854,0.0,"['sixth', ' 6th']",sixth
2202854,0.0,"['sixth', ' 6th']", 6th
296178,0.0,"['adjust', ' set', ' correct']",adjust
296178,0.0,"['adjust', ' set', ' correct']", set
296178,0.0,"['adjust', ' set', ' correct']", correct
1000214,0.0,"['record', ' enter', ' put down']",record
1000214,0.0,"['record', ' enter', ' put down']", enter
1000214,0.0,"['record', ' enter', ' put down']", put down
14421585,0.0,['marriage'],marriage
760402,0.0,"['commune', ' communicate']",commune
760402,0.0,"['commune', ' communicate']", communicate
6400510,0.0,"['excerpt', ' excerption', ' extract', ' selection']",excerpt
6400510,0.0,"['excerpt', ' excerption', ' extract', ' selection']", excerption
6400510,0.0,"['excerpt', ' excerption', ' extract', ' selection']", extract
6400510,0.0,"['excerpt', ' excerption', ' extract', ' selection']", selection
2904223,0.0,['managerial'],managerial
1372948,0.0,"['charitable', ' benevolent', ' kindly', ' sympathetic', ' good-hearted', ' openhearted', ' large-hearted']",charitable
1372948,0.0,"['charitable', ' benevolent', ' kindly', ' sympathetic', ' good-hearted', ' openhearted', ' large-hearted']", benevolent
1372948,0.0,"['charitable', ' benevolent', ' kindly', ' sympathetic', ' good-hearted', ' openhearted', ' large-hearted']", kindly
1372948,0.0,"['charitable', ' benevolent', ' kindly', ' sympathetic', ' good-hearted', ' openhearted', ' large-hearted']", sympathetic
1372948,0.0,"['charitable', ' benevolent', ' kindly', ' sympathetic', ' good-hearted', ' openhearted', ' large-hearted']", good-hearted
1372948,0.0,"['charitable', ' benevolent', ' kindly', ' sympathetic', ' good-hearted', ' openhearted', ' large-hearted']", openhearted
1372948,0.0,"['charitable', ' benevolent', ' kindly', ' sympathetic', ' good-hearted', ' openhearted', ' large-hearted']", large-hearted
331030,0.0,"['median', ' medial']",median
331030,0.0,"['median', ' medial']", medial
13814336,0.0,['brotherhood'],brotherhood
2852920,0.0,"['marital', ' matrimonial', ' married']",marital
2852920,0.0,"['marital', ' matrimonial', ' married']", matrimonial
